N, Parola, Canzone, Canzoni sul totale, Autore, Apparizioni Tot
1,non,Arrivederci tristezza,1 \ 2,Brunori sas,9
2,e,Arrivederci tristezza,1 \ 2,Brunori sas,7
3,a,Arrivederci tristezza,1 \ 2,Brunori sas,6
4,che,Arrivederci tristezza,1 \ 2,Brunori sas,5
5,il,Arrivederci tristezza,1 \ 2,Brunori sas,5
6,mi,Arrivederci tristezza,1 \ 2,Brunori sas,5
7,di,Arrivederci tristezza,1 \ 2,Brunori sas,5
8,pi,Arrivederci tristezza,1 \ 2,Brunori sas,5
9,niente,Arrivederci tristezza,1 \ 2,Brunori sas,4
10,ma,Arrivederci tristezza,1 \ 2,Brunori sas,4
11,mio,Arrivederci tristezza,1 \ 2,Brunori sas,4
12,se,Arrivederci tristezza,1 \ 2,Brunori sas,3
13,mia,Arrivederci tristezza,1 \ 2,Brunori sas,3
14,caro,Arrivederci tristezza,1 \ 2,Brunori sas,3
15,forse,Arrivederci tristezza,1 \ 2,Brunori sas,3
16,arrivederci,Arrivederci tristezza,1 \ 2,Brunori sas,3
17,oggi,Arrivederci tristezza,1 \ 2,Brunori sas,3
18,godo,Arrivederci tristezza,1 \ 2,Brunori sas,3
19,tu,Arrivederci tristezza,1 \ 2,Brunori sas,2
20,scusa,Arrivederci tristezza,1 \ 2,Brunori sas,2
21,un,Arrivederci tristezza,1 \ 2,Brunori sas,2
22,anche,Arrivederci tristezza,1 \ 2,Brunori sas,2
23,dormici,Arrivederci tristezza,1 \ 2,Brunori sas,2
24,servono,Arrivederci tristezza,1 \ 2,Brunori sas,2
25,su,Arrivederci tristezza,1 \ 2,Brunori sas,2
26,vattene,Arrivederci tristezza,1 \ 2,Brunori sas,2
27,mente,Arrivederci tristezza,1 \ 2,Brunori sas,2
28,spiace,Arrivederci tristezza,1 \ 2,Brunori sas,2
29,ragione,Arrivederci tristezza,1 \ 2,Brunori sas,2
30,per,Arrivederci tristezza,1 \ 2,Brunori sas,2
31,letto,Arrivederci tristezza,1 \ 2,Brunori sas,2
32,l,Arrivederci tristezza,1 \ 2,Brunori sas,2
33,cuore,Arrivederci tristezza,1 \ 2,Brunori sas,2
34,tuo,Arrivederci tristezza,1 \ 2,Brunori sas,2
35,perfetto,Arrivederci tristezza,1 \ 2,Brunori sas,2
36,tristezza,Arrivederci tristezza,1 \ 2,Brunori sas,2
37,intelletto,Arrivederci tristezza,1 \ 2,Brunori sas,2
38,come,Arrivederci tristezza,1 \ 2,Brunori sas,2
39,la,Arrivederci tristezza,1 \ 2,Brunori sas,2
40,tenerezza,Arrivederci tristezza,1 \ 2,Brunori sas,2
41,perch,Arrivederci tristezza,1 \ 2,Brunori sas,2
42,durer,Arrivederci tristezza,1 \ 2,Brunori sas,2
43,ho,Arrivederci tristezza,1 \ 2,Brunori sas,2
44,te,Arrivederci tristezza,1 \ 2,Brunori sas,2
45,culo,Arrivederci tristezza,1 \ 2,Brunori sas,2
46,dicono,Arrivederci tristezza,1 \ 2,Brunori sas,2
47,grande,Arrivederci tristezza,1 \ 2,Brunori sas,2
48,domani,Arrivederci tristezza,1 \ 2,Brunori sas,2
49,chiss,Arrivederci tristezza,1 \ 2,Brunori sas,2
50,rinascere,Arrivederci tristezza,1 \ 2,Brunori sas,2
51,passer,Arrivederci tristezza,1 \ 2,Brunori sas,1
52,dici,Arrivederci tristezza,1 \ 2,Brunori sas,1
53,coglione,Arrivederci tristezza,1 \ 2,Brunori sas,1
54,levami,Arrivederci tristezza,1 \ 2,Brunori sas,1
55,meglio,Arrivederci tristezza,1 \ 2,Brunori sas,1
56,cos,Arrivederci tristezza,1 \ 2,Brunori sas,1
57,in,Arrivederci tristezza,1 \ 2,Brunori sas,1
58,virt,Arrivederci tristezza,1 \ 2,Brunori sas,1
59,del,Arrivederci tristezza,1 \ 2,Brunori sas,1
60,nome,Arrivederci tristezza,1 \ 2,Brunori sas,1
61,vuoi,Arrivederci tristezza,1 \ 2,Brunori sas,1
62,avere,Arrivederci tristezza,1 \ 2,Brunori sas,1
63,stammi,Arrivederci tristezza,1 \ 2,Brunori sas,1
64,sentir,Arrivederci tristezza,1 \ 2,Brunori sas,1
65,assiomi,Arrivederci tristezza,1 \ 2,Brunori sas,1
66,teoremi,Arrivederci tristezza,1 \ 2,Brunori sas,1
67,valgono,Arrivederci tristezza,1 \ 2,Brunori sas,1
68,questo,Arrivederci tristezza,1 \ 2,Brunori sas,1
69,occhio,Arrivederci tristezza,1 \ 2,Brunori sas,1
70,vede,Arrivederci tristezza,1 \ 2,Brunori sas,1
71,fardello,Arrivederci tristezza,1 \ 2,Brunori sas,1
72,senta,Arrivederci tristezza,1 \ 2,Brunori sas,1
73,voglio,Arrivederci tristezza,1 \ 2,Brunori sas,1
74,provare,Arrivederci tristezza,1 \ 2,Brunori sas,1
75,volare,Arrivederci tristezza,1 \ 2,Brunori sas,1
76,lass,Arrivederci tristezza,1 \ 2,Brunori sas,1
77,milioni,Arrivederci tristezza,1 \ 2,Brunori sas,1
78,arrivedercitristezza,Arrivederci tristezza,1 \ 2,Brunori sas,1
79,libri,Arrivederci tristezza,1 \ 2,Brunori sas,1
80,brunorisas,Arrivederci tristezza,1 \ 2,Brunori sas,1
81,cervello,Arrivederci tristezza,1 \ 2,Brunori sas,1
82,scusami,Arrivederci tristezza,1 \ 2,Brunori sas,1
83,ancora,Arrivederci tristezza,1 \ 2,Brunori sas,1
84,sei,Arrivederci tristezza,1 \ 2,Brunori sas,1
85,fatto,Arrivederci tristezza,1 \ 2,Brunori sas,1
86,amore,Arrivederci tristezza,1 \ 2,Brunori sas,1
87,senza,Arrivederci tristezza,1 \ 2,Brunori sas,1
88,solo,Arrivederci tristezza,1 \ 2,Brunori sas,1
89,sono,Arrivederci tristezza,1 \ 2,Brunori sas,1
90,duro,Arrivederci tristezza,1 \ 2,Brunori sas,1
91,mulo,Arrivederci tristezza,1 \ 2,Brunori sas,1
92,ti,Arrivederci tristezza,1 \ 2,Brunori sas,1
93,preso,Arrivederci tristezza,1 \ 2,Brunori sas,1
94,nutrire,Arrivederci tristezza,1 \ 2,Brunori sas,1
95,gi,Arrivederci tristezza,1 \ 2,Brunori sas,1
96,miliardi,Arrivederci tristezza,1 \ 2,Brunori sas,1
97,stelle,Arrivederci tristezza,1 \ 2,Brunori sas,1
98,una,Arrivederci tristezza,1 \ 2,Brunori sas,1
99,cielo,Arrivederci tristezza,1 \ 2,Brunori sas,1
100,mondo,Arrivederci tristezza,1 \ 2,Brunori sas,1
101,amarezza,Arrivederci tristezza,1 \ 2,Brunori sas,1
102,questa,Arrivederci tristezza,1 \ 2,Brunori sas,1
103,dolcezza,Arrivederci tristezza,1 \ 2,Brunori sas,1
104,fratello,Arrivederci tristezza,1 \ 2,Brunori sas,1
105,cara,Arrivederci tristezza,1 \ 2,Brunori sas,1
106,adesso,Arrivederci tristezza,1 \ 2,Brunori sas,1
