N, Parola, Canzone, Canzoni sul totale, Autore, Apparizioni Tot
1,che,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,29
2,di,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,29
3,e,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,28
4,non,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,25
5,il,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,20
6,io,Mr nessuno,1 \ 2,Claver Gold,16
7,a,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,14
8,sono,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,14
9,mi,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,14
10,così,Mr nessuno,1 \ 2,Claver Gold,14
11,in,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,13
12,ma,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,11
13,un,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,11
14,tutti,Mr nessuno,1 \ 2,Claver Gold,11
15,ho,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,10
16,mio,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,9
17,da,Mr nessuno,1 \ 2,Claver Gold,9
18,per,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,8
19,questa,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,8
20,mr,Mr nessuno,1 \ 2,Claver Gold,8
21,nessuno,Mr nessuno,1 \ 2,Claver Gold,8
22,so,Mr nessuno,1 \ 2,Claver Gold,8
23,città,Mr nessuno,1 \ 2,Claver Gold,8
24,fan,Mr nessuno,1 \ 2,Claver Gold,7
25,fanculo,Mr nessuno,1 \ 2,Claver Gold,7
26,scena,Mr nessuno,1 \ 2,Claver Gold,7
27,se,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,6
28,l,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,6
29,solo,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,6
30,come,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,6
31,pagliacci,Mr nessuno,1 \ 2,Claver Gold,6
32,nel,Mr nessuno,1 \ 2,Claver Gold,6
33,la,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,5
34,pi,Arrivederci tristezza,1 \ 2,Brunori sas,5
35,mia,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,5
36,voglio,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,5
37,dal,Mr nessuno,1 \ 2,Claver Gold,5
38,al,Mr nessuno,1 \ 2,Claver Gold,5
39,poi,Mr nessuno,1 \ 2,Claver Gold,5
40,te,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,4
41,adesso,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,4
42,tu,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,4
43,del,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,4
44,niente,Arrivederci tristezza,1 \ 2,Brunori sas,4
45,fatto,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,4
46,anche,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,4
47,forse,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,4
48,ti,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,4
49,cerco,Mr nessuno,1 \ 2,Claver Gold,4
50,me,Mr nessuno,1 \ 2,Claver Gold,4
51,puoi,Mr nessuno,1 \ 2,Claver Gold,4
52,amici,Mr nessuno,1 \ 2,Claver Gold,4
53,è,Mr nessuno,1 \ 2,Claver Gold,4
54,alla,Mr nessuno,1 \ 2,Claver Gold,4
55,noi,Mr nessuno,1 \ 2,Claver Gold,4
56,scusa,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,3
57,ancora,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,3
58,arrivederci,Arrivederci tristezza,1 \ 2,Brunori sas,3
59,oggi,Arrivederci tristezza,1 \ 2,Brunori sas,3
60,godo,Arrivederci tristezza,1 \ 2,Brunori sas,3
61,caro,Arrivederci tristezza,1 \ 2,Brunori sas,3
62,mondo,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,3
63,tuo,Arrivederci tristezza & Mr nessuno,2 \ 2,Brunori sas & Claver Gold,3
64,momento,Mr nessuno,1 \ 2,Claver Gold,3
65,opportuno,Mr nessuno,1 \ 2,Claver Gold,3
66,buon,Mr nessuno,1 \ 2,Claver Gold,3
67,motivo,Mr nessuno,1 \ 2,Claver Gold,3
68,lasciarli,Mr nessuno,1 \ 2,Claver Gold,3
69,qui,Mr nessuno,1 \ 2,Claver Gold,3
70,digiuno,Mr nessuno,1 \ 2,Claver Gold,3
71,sto,Mr nessuno,1 \ 2,Claver Gold,3
72,minuto,Mr nessuno,1 \ 2,Claver Gold,3
73,vivon,Mr nessuno,1 \ 2,Claver Gold,3
74,fumo,Mr nessuno,1 \ 2,Claver Gold,3
75,sentirne,Mr nessuno,1 \ 2,Claver Gold,3
76,profumo,Mr nessuno,1 \ 2,Claver Gold,3
77,dalla,Mr nessuno,1 \ 2,Claver Gold,3
78,dell,Mr nessuno,1 \ 2,Claver Gold,3
